CityId,Name,District
1,Авдіївка,Донецька область
2,Алмазна,Луганська область
3,Алупка,АР Крим
4,Алушта,АР Крим
5,Алчевськ,Луганська область
6,Амвросіївка,Донецька область
7,Ананьїв,Одеська область
8,Андрушівка,Житомирська область
9,Антрацит (місто),Луганська область
10,Апостолове,Дніпропетровська область
11,Армянськ,АР Крим
12,Арциз,Одеська область
13,Балаклія,Харківська область
14,Балта,Одеська область
15,Бар (місто),Вінницька область
16,Баранівка,Житомирська область
17,Барвінкове,Харківська область
18,Батурин,Чернігівська область
19,Бахмач,Чернігівська область
20,Бахмут,Донецька область
21,Бахчисарай,АР Крим
22,Баштанка,Миколаївська область
23,Белз,Львівська область
24,Бердичів,Житомирська область
25,Бердянськ,Запорізька область
26,Берегове,Закарпатська область
27,Бережани,Тернопільська область
28,Березань (місто),Київська область
29,Березівка,Одеська область
30,Березне,Рівненська область
31,Берестечко,Волинська область
32,Берислав,Херсонська область
33,Бершадь,Вінницька область
34,Бібрка,Львівська область
35,Біла Церква,Київська область
36,Білгород-Дністровський,Одеська область
37,Білицьке,Донецька область
38,Білогірськ,АР Крим
39,Білозерське,Донецька область
40,Білопілля,Сумська область
41,Біляївка,Одеська область
42,Благовіщенське,Кіровоградська область
43,Бобринець,Кіровоградська область
44,Бобровиця,Чернігівська область
45,Богодухів,Харківська область
46,Богуслав,Київська область
47,Боково-Хрустальне,Луганська область
48,Болград,Одеська область
49,Болехів,Івано-Франківська область
50,Борзна,Чернігівська область
51,Борислав,Львівська область
52,Бориспіль,Київська область
53,Борщів,Тернопільська область
54,Боярка,Київська область
55,Бровари,Київська область
56,Броди,Львівська область
57,Брянка,Луганська область
58,Бунге (місто),Донецька область
59,Буринь,Сумська область
60,Бурштин (місто),Івано-Франківська область
61,Буськ,Львівська область
62,Буча,Київська область
63,Бучач,Тернопільська область
64,Валки (місто),Харківська область
65,Вараш,Рівненська область
66,Василівка (місто),Запорізька область
67,Васильків,Київська область
68,Ватутіне,Черкаська область
69,Вашківці,Чернівецька область
70,Великі Мости,Львівська область
71,Верхівцеве,Дніпропетровська область
72,Верхньодніпровськ,Дніпропетровська область
73,Вижниця,Чернівецька область
74,Вилкове,Одеська область
75,Винники,Львівська область
76,Виноградів,Закарпатська область
77,Вишгород,Київська область
78,Вишневе (місто),Київська область
79,Вільногірськ,Дніпропетровська область
80,Вільнянськ,Запорізька область
81,Вінниця,Вінницька область
82,Вовчанськ,Харківська область
83,Вознесенівка,Луганська область
84,Вознесенськ,Миколаївська область
85,Волноваха,Донецька область
86,Володимир (місто),Волинська область
87,Волочиськ,Хмельницька область
